roomId      教室id
roomType 教室类型
language 语言
role        角色
userId      用户id
userName 用户名
startTime   开始时间
endTime     结束时间
class_time  课程时长s
extra 其他
leave_time  离屏时长s
leave_time_list 离屏时间节点
leave_percent 离屏占比
other_people  他人干扰
other_people_list 他人干扰时间节点
speak_time    开口时长
speak_time_percent 开口时长占比
speak_times   开口次数
speak_speed   语速
#speak_word_num 单词个数
emo_score      表情得分
#attention_score 专注度得分
#gesture_count   手势个数
#stu_answer_times 回答次数-学生
#stu_answer_percent 回答比例
highlight_score 精彩瞬间得分
total_score 综合得分
img_url  精彩图片
highlights 精彩瞬间url-学生
highlights_tea 精彩瞬间url-老师
playback_url 回放视频
price 价格
