roomId      教室id
roomType 教室类型
language 语言
role        角色
userId      用户id
userName 用户名
stu_names 学生列表
startTime   开始时间
endTime     结束时间
class_time  课程时长s
extra 其他
leave_time  离屏时长s
leave_time_list 离屏时间节点
leave_percent 离屏占比
other_people  他人干扰
other_people_list 他人干扰时间节点
speak_time    开口时长
speak_times   开口次数
speak_speed   语速
#speak_word_num 单词个数
happy_num happy次数
emo_score      表情得分
#attention_score 专注度得分
#gesture_count   手势个数
gesture_encourage_times  手势激励次数-老师+学生
tea_praise_times 口头激励次数-老师
tea_total_praise_times 总激励次数-老师
#tea_question_times 提问次数-老师+学生
tea_praise_score 夸赞得分
tea_speak_speed_score 语速得分
stu_speak_percent 学生开口占比
stu_speak_score 学生开口得分
tea_praise_level  表扬等级
tea_speak_speed_level 语速等级
stu_speak_level 学生开口等级
total_score 综合得分
score_level 星级得分
img_url  精彩图片
playback_url 回放视频
price 价格
